Description,Name,GTEX-11DXY-0526-SM-5EGGQ,GTEX-11DXZ-0126-SM-5EGGY,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-11GSP-0626-SM-5986T,GTEX-11NUK-1226-SM-5P9GM,GTEX-11OF3-0726-SM-5BC4Z,GTEX-11TT1-1726-SM-5EQLJ,GTEX-11TUW-1726-SM-5BC5C,GTEX-11WQC-0726-SM-5EQMR,GTEX-11ZTS-1426-SM-5EQMM,GTEX-11ZUS-2526-SM-59872,GTEX-11ZVC-0726-SM-5FQT9,GTEX-1212Z-0226-SM-59HLF,GTEX-12696-0826-SM-5EGGE,GTEX-1269C-0626-SM-5FQSS,GTEX-12KS4-1326-SM-5LUB3,GTEX-12WSD-1426-SM-5GCN9,GTEX-12WSG-0626-SM-5FQTQ,GTEX-12WSL-0226-SM-5CVMJ,GTEX-13113-1326-SM-5GCOI,GTEX-131XE-0326-SM-5LZVO,GTEX-131XH-0626-SM-5LZWH,GTEX-131YS-1626-SM-5HL6C,GTEX-132AR-0426-SM-5IFH8,GTEX-132NY-0926-SM-5P9G3,GTEX-1399R-1226-SM-5P9GF,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-1426-SM-5IFJD,GTEX-139TU-0826-SM-5IJFG,GTEX-13FTW-1126-SM-5J2NV,GTEX-13N11-0926-SM-5IJG2,GTEX-13N2G-0926-SM-5IFGJ,GTEX-13NYB-1026-SM-5IFH3,GTEX-13O1R-2026-SM-5KM3N,GTEX-13O3O-1826-SM-5IFGW,GTEX-13OW6-2626-SM-5IFF2,GTEX-13PVQ-1526-SM-5IFEQ,GTEX-13PVR-0126-SM-5S2PY,GTEX-13QJC-0726-SM-5RQJK,GTEX-13SLX-1226-SM-5S2Q6,GTEX-13VXU-0926-SM-5IFFH,GTEX-144GL-1426-SM-79OMA,GTEX-144GM-1326-SM-5LU5E,GTEX-145MF-0826-SM-5QGQA,GTEX-145MO-2326-SM-5NQ9K,GTEX-146FH-1526-SM-5NQBU,GTEX-14753-1626-SM-5NQ9L,GTEX-147F4-1426-SM-5LUA8,GTEX-147GR-1326-SM-7IGLB,GTEX-147JS-1126-SM-5RQIW,GTEX-148VI-0626-SM-5TDDH,GTEX-1497J-0726-SM-5Q5D1,GTEX-14A5I-1726-SM-5QGQ5,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14BIL-1326-SM-79OMR,GTEX-14C38-1526-SM-5RQJ7,GTEX-14DAQ-1726-SM-5S2R2,GTEX-14E1K-0326-SM-5S2PE,GTEX-14E7W-1526-SM-6871X,GTEX-14JG1-1626-SM-664NH,GTEX-14PHX-0526-SM-664NW,GTEX-14XAO-0226-SM-68728,GTEX-15DYW-1326-SM-6LPIV,GTEX-15ER7-1826-SM-6LLI7,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-15RJE-1126-SM-6LPI5,GTEX-15SHU-1826-SM-7KUKS,GTEX-17F96-1226-SM-79OK2,GTEX-17HHE-0126-SM-79398,GTEX-17HII-1026-SM-7IGLY,GTEX-17MF6-1126-SM-7DUFS,GTEX-18465-1626-SM-7LG6N,GTEX-18A66-2026-SM-7189C,GTEX-18A6Q-2026-SM-718AQ,GTEX-18A7A-1526-SM-72D69,GTEX-18D9B-1526-SM-7KFRK,GTEX-1A32A-0826-SM-72D5C,GTEX-1A8FM-1226-SM-7IGMD,GTEX-1A8G7-1126-SM-731ED,GTEX-1AMFI-0826-SM-731DV,GTEX-1AX8Z-1026-SM-7189R,GTEX-1AX9I-1626-SM-72D5D,GTEX-1B8L1-0726-SM-7P8RT,GTEX-1B8SG-1326-SM-79ONT,GTEX-1B932-1426-SM-793AN,GTEX-1B933-1226-SM-731DW,GTEX-1B996-1426-SM-7EPIA,GTEX-1BAJH-1526-SM-7RHGI,GTEX-1C6VQ-1626-SM-79OO1,GTEX-1CB4F-1726-SM-7MGXH,GTEX-1CB4J-0726-SM-7IGN8,GTEX-1E2YA-1226-SM-7MGY3,GTEX-1EH9U-1126-SM-7IGLU,GTEX-1EKGG-1226-SM-7IGNO,GTEX-1EWIQ-0726-SM-7MKFW,GTEX-1F75A-1626-SM-9JGGT,GTEX-1GF9V-1226-SM-7MKGY,GTEX-1GF9W-0826-SM-7MKHI,GTEX-1GF9X-0426-SM-7MKHN,GTEX-1GN1U-0926-SM-9WPPY,GTEX-1GN2E-0926-SM-9WPOH,GTEX-1GN73-1126-SM-9OSW5,GTEX-1GZ4I-1526-SM-9OSW9,GTEX-1H11D-0826-SM-9OSWB,GTEX-1HB9E-0626-SM-AHZ4K,GTEX-1HBPH-2626-SM-A96TV,GTEX-1HBPI-1026-SM-AHZ4N,GTEX-1HCVE-1526-SM-B2LWW,GTEX-1ICG6-1026-SM-B2LY6,GTEX-1ICLY-1526-SM-C1YS4,GTEX-1IKJJ-1526-SM-C1YSC,GTEX-1IKK5-0326-SM-C1YPY,GTEX-1J8EW-1626-SM-C1YQ8,GTEX-1JJEA-1526-SM-CNNPK,GTEX-1JMLX-1326-SM-CXZJO,GTEX-1K9T9-0726-SM-CXZJZ,GTEX-1KAFJ-0726-SM-CXZKF,GTEX-1KANB-2226-SM-DHXJW,GTEX-1KD5A-1226-SM-CXZK7,GTEX-1KWVE-0326-SM-EV7AF,GTEX-1LGRB-0626-SM-CNNQH,GTEX-1LH75-0926-SM-EAZ5C,GTEX-1MJIX-0726-SM-DPRYP,GTEX-1NV8Z-1626-SM-DPRYT,GTEX-1PBJJ-0626-SM-DPRYO,GTEX-1PIIG-1326-SM-EXOIR,GTEX-1QCLZ-1226-SM-EAZ49,GTEX-1QP66-0226-SM-DPRXS,GTEX-1QP6S-1326-SM-DPRZ8,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1R9JW-0826-SM-DPRZJ,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-O5YT-0826-SM-3TW8N,GTEX-OIZF-0826-SM-3MJGO,GTEX-OOBJ-0826-SM-3NB2K,GTEX-P44G-1126-SM-3NM9D,GTEX-P78B-1326-SM-3P611,GTEX-PX3G-0826-SM-48TZS,GTEX-Q2AG-1126-SM-48U1P,GTEX-Q734-0326-SM-48U15,GTEX-QDVN-0826-SM-48TZ2,GTEX-QEG4-1826-SM-CKZN9,GTEX-QEL4-1226-SM-447A4,GTEX-QESD-2026-SM-447BI,GTEX-QV44-0326-SM-C1YQX,GTEX-R53T-0326-SM-48FEC,GTEX-REY6-1226-SM-48FDR,GTEX-RM2N-1926-SM-48FCU,GTEX-RN64-1826-SM-48FDV,GTEX-RNOR-1426-SM-48FDJ,GTEX-RTLS-1326-SM-46MUN,GTEX-RU72-1426-SM-46MUF,GTEX-RWSA-1426-SM-47JXA,GTEX-S32W-1926-SM-4AD63,GTEX-S33H-1626-SM-4AD68,GTEX-S4Z8-0526-SM-4AD4T,GTEX-SJXC-1226-SM-4DM78,GTEX-T6MN-1226-SM-3NMA5,GTEX-TKQ2-1726-SM-4DXUP,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U8XE-1526-SM-4E3HT,GTEX-UPK5-1426-SM-4JBHH,GTEX-UTHO-2426-SM-4JBHD,GTEX-VUSG-0126-SM-4KL1X,GTEX-WFON-1726-SM-4LVMQ,GTEX-WK11-1326-SM-4OOSI,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WY7C-0726-SM-4ONCB,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WZTO-0626-SM-4PQYY,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X4EO-1126-SM-4QARQ,GTEX-X4EP-1026-SM-4QAS5,GTEX-X4XY-1626-SM-46MVN,GTEX-XBEC-1526-SM-4AT68,GTEX-XXEK-1126-SM-4BRUX,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-YB5E-0326-SM-5IFHU,GTEX-YEC4-0826-SM-5P9FV,GTEX-YECK-1926-SM-4W21H,GTEX-YFC4-1526-SM-5IFJS,GTEX-Z9EW-0426-SM-5CVM9,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVT3-1626-SM-5GU66,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZZPU-0426-SM-5GZYH
CTD-2325A15.5,ENSG00000272234.1,29.57,25.86,19.06,92.3,18.24,20.64,5.482,5.478,40.59,19.7,7.083,10.13,27.3,9.696,4.44,6.853,18.89,8.499,5.025,10.01,6.615,3.492,18.48,14.51,15.76,33.88,27.92,8.978,15.52,6.818,27.38,8.658,7.499,1.635,1.27,29.48,2.19,13.34,14.71,63.97,17.72,9.516,2.768,16.52,3.249,12.76,6.343,12.71,6.538,23.9,9.419,12.82,11.47,29.86,20.5,1.854,22.74,14.67,44.88,29.68,14.3,3.052,21.52,18.29,3.866,3.631,13.23,28.9,45.11,9.763,6.727,12.47,19.83,31.26,34.41,6.736,4.639,11.22,10.83,12.74,7.43,12.38,21.76,5.102,7.713,42.17,3.681,43.87,20.29,8.858,3.068,16.48,5.24,27.69,16.18,6.421,9.549,3.927,17,24.71,65.68,5.026,12.29,28.32,13.42,4.411,10.84,26.24,16.82,3.166,41.95,6.051,24.23,26.49,17.1,5.629,21.02,63.22,12.94,19.47,14.75,7.061,4.272,14.16,2.3,2.472,18.4,7.118,11.4,5.453,18.52,3.921,3.279,47.74,22.49,0.4686,16.47,10.22,6.999,25.15,5.881,20.03,18.91,11.79,33.83,30.48,8.264,5.93,18.44,11.59,16.06,7.001,1.664,8.979,12.15,7.341,20.07,24.41,5.644,45.71,3.575,22.74,10.25,11.91,14.65,1.354,6.024,8.925,22.3,12.57,8.832,1.931,6.888,4.395,9.342,8.65,16.47,29.18,8.243,9.62,18.75,6.354,10.62,32.77,20.94,5.364,21.83,9.717,11.8,5.241,17.81,32.71,15.84
RP11-421F16.3,ENSG00000247903.1,8.328,5.337,6.162,5.819,6.042,6.691,1.473,1.293,6.795,8.718,7.772,5.713,5.3,3.931,5.404,5.668,11.22,3.27,1.814,4.896,3.31,7.59,7.033,6.23,3.795,3.393,9.253,6.353,4.854,4.905,9.012,5.381,13.03,1.625,2.415,12.1,2.554,3.723,2.768,11.83,8.375,4.431,1.079,9.469,2.409,6.114,2.262,5.826,5.309,6.859,3.396,5.011,7.39,6.92,5.987,2.023,6.36,3.897,7.66,5.695,5.139,1.69,10.77,7.353,2.73,1.682,10.42,7.251,6.79,2.807,7.16,5.326,3.53,8.223,10.79,4.243,3.639,9.654,8.992,5.836,2.85,9.609,10.13,3.064,3.163,10.1,2.995,7.601,11.38,4.512,2.913,3.911,6.227,5.928,5.79,4.198,3.224,2.993,2.418,5.62,4.695,5.892,3.42,7.476,5.528,14.77,5.215,5.535,6.409,2.81,5.883,6.152,10.16,6.441,11.81,1.8,2.817,8.726,4.12,8.716,4.294,4.658,2.903,6.623,4.563,4.36,6.277,1.039,7.062,4.63,3.961,7.028,6.542,8.928,5.314,1.722,4.818,3.87,8.327,3.984,3.762,11.69,5.302,4.506,3.745,5.041,5.688,3.364,11.02,9.31,8.05,3.308,3.81,3.742,4.561,3.35,11.22,8.038,2.57,4.366,1.442,4.882,6.524,1.357,3.94,5.444,2.438,4.944,5.515,8.255,1.952,3.819,4.93,3.305,4.862,1.429,0.8493,7.617,5.825,7.498,9.177,5.453,2.824,4.151,2.091,2.012,4.325,2.627,4.347,4.138,6.673,4.894,2.325
RP11-449P15.2,ENSG00000273151.1,18.96,6.514,4.607,4.239,9.135,8.188,1.093,1.497,3.579,10.32,5.363,4.849,8.215,2.364,1.411,2.885,5.027,2.717,2.09,9.051,3.242,1.879,18.35,4.98,3.253,4.04,10.03,3.366,10.03,1.178,3.681,2.769,5.57,0.7579,1.127,20.37,2.062,2.309,1.835,3.421,11.32,3.563,1.818,8.582,0.9085,4.005,1.861,7.824,3.593,3.77,1.676,1.656,3.898,9.67,5.174,0.9655,10.1,4.559,7.847,21.54,3.959,0.7111,14.34,3.315,1.594,2.981,7.903,11.12,5.422,3.09,6.079,7.154,2.227,7.832,18.91,1.123,3.329,3.178,4.76,2.413,1.758,4.671,9.986,1.52,2.895,14.06,1.127,21.88,7.123,3.326,1.224,3.045,5.513,4.158,6.513,2.886,5.196,2.792,4.458,8.956,4.423,1.771,12.23,5.312,3.262,6.93,5.489,6.166,3.487,0.5979,7.248,3.545,13.07,14.93,3.188,1.587,3.358,16.86,1.892,22.03,3.172,1.873,0.9118,10.05,1.212,1.029,2.044,1.546,6.291,2.622,4.147,2.188,1.932,7.631,3.389,0.7764,5.668,3.919,1.869,10.58,1.872,20.37,1.704,10.65,5.389,6.213,2.329,1.726,18.47,10.94,4.86,1.737,1.904,1.536,3.73,2.853,4.468,7.47,1.272,1.724,5.492,4.343,4.789,4.445,2.453,1.794,1.442,4.527,5.15,15.53,2.242,1.995,6.884,1.615,3.829,3.522,0.7281,9.301,1.362,1.882,3.718,2.999,1.782,6.403,3.708,1.659,4.239,1.46,2.228,1.524,4.131,6.257,4.135
TEAD2,ENSG00000074219.13,2.627,5.443,4.348,2.035,1.809,2.459,10.59,3.235,5.003,1.957,0.9959,3.156,3.24,4.601,5.89,12.22,2.44,8.847,8.198,5.662,10.15,1.535,1.67,11.97,5.664,3.236,4.524,7.763,1.545,6.953,4.534,7.212,3.872,7.684,1.992,3.743,10.15,4.118,1.705,4.285,1.785,1.508,25.41,1.796,6.229,13.66,6.153,3.723,8.546,2.308,7.46,8.32,5.861,3.223,2.151,15.7,4.404,7.539,2.91,2.74,6.728,14.62,3.302,2.757,10.94,14.08,2.191,3.275,5.62,5.55,5.373,1.57,11.16,2.01,3.588,16.27,2.227,2.171,5.043,2.979,15.83,2.477,2.616,13.23,13.1,2.029,3.187,2.367,5.505,6.288,14.19,8.011,2.883,1.767,2.656,1.079,2.42,19.36,3.669,4.845,0.9714,2.047,4.568,3.307,8.18,4.773,2.244,5.775,4.675,26.8,1.235,7.214,3.465,2.233,3.139,18.89,15.91,2.894,9.008,1.048,4.645,14.83,4.339,2.207,14.2,1.29,6.663,9.552,3.057,5.913,3.514,2.239,29.66,5.446,5.698,20.54,6.601,4.645,4.727,8.788,12.03,1.129,11.43,5.125,5.651,3.825,13,9.852,1.821,2.752,4.04,4.52,3.861,11.56,8.596,8.45,3.058,2.27,12.33,3.86,20.67,10.25,21.13,18.76,6.766,2.799,8.537,7.609,10.52,1.181,6.769,2.695,23.31,7.657,4.52,8.379,6.379,1.713,10.35,6.104,2.487,3.606,6.851,4.554,6.247,4.265,4.856,15.01,11.02,5.834,4.303,2.766,3.589
RP5-875H18.10,ENSG00000275025.1,3.447,1.142,1.267,0.9875,3.452,3.164,0.1078,0.07268,2.737,1.876,3.679,0.8165,2.712,0.5106,0.4605,1.669,2.676,0.2404,0.4845,1.184,0.3019,3.984,3.359,0.1936,0.6516,1.208,2.489,4.285,1.561,1.426,1.837,1.52,1.401,0.4305,1.515,3.984,0.1562,0.5722,0.6581,2.858,3.001,2.595,0,1.824,0.3327,0.7661,1.416,0.5841,1.268,1.511,0.4327,1.307,0.8565,2.218,0.8476,0.06822,2.051,0.8068,3.392,5.309,0.2559,0.05804,3.15,6.001,0.784,0.9972,3.728,0.9215,3.511,0.4263,1.814,2.103,1.494,2.767,4.096,1.23,4.679,0.9954,0.6727,1.002,1.464,1.425,3.895,0.3327,0.6769,3.071,0.6666,2.312,0.6012,2.34,0.2526,1.166,3.792,1.858,1.728,0.7757,2.861,1.045,0.5936,1.579,0.5386,1.576,1.812,2.708,0.8543,0.9556,1.892,2.267,1.133,0.1618,3.169,0.2938,1.818,3.831,1.186,0.5891,0.1904,4.547,0.5779,2.238,2.31,0.3122,0.8809,3.197,1.705,1.742,1.423,0.1463,1.435,2.442,2.73,1.762,0.1781,0.4939,1.639,0,1.489,3.149,2.59,1.244,0,3.501,0,3.766,0.8707,1.71,0,0.8786,3.963,3.919,1.304,2.662,0.5694,0.2479,0.5233,0.4926,4.902,2.466,0.5854,0.6045,0.1359,1.721,0.9427,1.167,1.393,1.384,0.4522,0.9854,1.018,3.905,0.6848,0.7083,0.5393,0,2.099,0,1.279,2.184,3.368,0.5702,3.22,0.2014,0.4488,2.454,1.647,0.827,1.01,1.44,0,1.196,4.968,2.716,2.484
CTD-3193O13.1,ENSG00000260500.1,1.723,1.06,0.1238,1.179,3.343,2.592,0.2002,0.6747,0.6867,1.334,2.015,0.8163,1.299,0.158,0.3664,0.6523,1.612,0.4464,0.7496,0.7852,0,2.465,2.465,0.8987,1.29,0.8306,0.9241,1.119,1.764,1.805,1.43,0.2821,2.328,0,0.3668,1.707,0.145,0.6374,0.6109,1.768,1.759,0.8874,0,1.317,0.1765,0.9956,0.9735,1.084,1.939,1.328,0.2678,1.386,0.7228,2.306,2.046,0.3799,3.046,0.9362,2.234,3.113,1.425,0.3233,1.376,2.044,0,0.4272,3.461,3.041,1.574,1.385,0.2591,1.608,0.2973,2.283,2.152,0,0.2848,1.092,0.1561,0.186,0.3397,1.84,1.843,0.3088,0.8378,2.281,0.3713,1.813,0,0.395,0.268,0.8656,0.4773,2.48,3.337,0.4,0.9194,0.2773,0.7347,2.345,0.8749,0.325,0.9896,0.5986,0.122,1.183,1.712,2.031,0.9817,0.7007,2.13,0.2727,1.629,1.735,0.367,0,0.1178,2.146,0.3576,1.918,0.9712,0.1159,0.5451,2.473,0.3653,1.617,0.6403,0.4075,0.6662,1.08,0.2414,2.316,0.4409,1.31,2.341,0.579,0.8506,0.9479,2.671,0.8663,0.3718,1.536,0.1711,2.597,0.6466,0.4233,0.1522,0,3.854,4.708,0.2848,0.5815,1.057,0.1534,0.8096,0.9146,3.366,1.353,0.7763,0.5101,0,1.065,0.7001,0.1275,0.3449,1.217,0.8395,0.9147,1.453,1.891,0.3632,0.2922,0.4291,0.3103,1.349,0,0.6193,1.424,0.7078,0.5293,2.817,0.3739,0,1.072,0.5734,0.1024,1.406,0.1337,0,0.5551,2.683,3.482,1.59
NFYC,ENSG00000066136.20,13.17,14.33,13.24,13.6,18.53,17.43,20.57,6.936,17.74,13.19,11.29,12.63,13.45,11.08,11.91,16.78,16.33,15.71,9.327,14.67,14.33,10.21,17.38,22.33,12.97,15.15,16.19,15.51,11.18,15.35,18.78,10.18,18.53,12.11,6.918,18.41,9.236,11.91,9.561,21.75,13.18,10.87,7.434,17.14,9.421,15.2,7.568,13.21,14.25,12.17,12.89,12.74,11.41,18.34,15.22,11.16,18.86,12.5,16.71,16.32,14.33,15.11,19.84,15.52,14.75,9.4,13.25,15.28,18.79,12.75,13.35,16.02,14.19,18.25,21.48,16.18,11.31,18.23,13.78,14.27,16.31,9.7,16.53,11.49,16.84,14.65,11.97,18.82,15.22,15.36,11.67,12.93,12.72,15.7,13.33,6.155,10.41,9.382,11.72,15.37,13.98,8.298,11.7,18.21,12.87,19.05,16.68,12.2,16.8,9.945,16.09,16.46,17.36,12.54,16.89,16.64,9.26,19.64,11.6,15.65,14.78,11.3,12.19,17.34,9.992,8.123,17.31,10.57,17.12,18.5,15,15.33,23.98,19.91,14.91,7.076,15.34,16.99,12.36,17.14,17.41,17.63,17.61,18.11,12.69,17.61,15.28,10.09,18.9,19.61,13.68,13.56,10.1,16.76,15.76,16.41,16.59,15.73,13,16.94,9.89,14.84,19.92,11.24,10.66,7.522,14.15,17.31,15.56,15.25,9.889,9.291,16,13.59,12.09,13.32,20.19,16.89,16.99,10.56,15.87,13.46,10.87,14.63,13.98,14.05,15.98,14.02,17.38,10.59,20.61,14.29,14.15
ZNF473,ENSG00000142528.15,1.281,0.963,1.435,1.434,1.099,1.544,6.713,3.087,2.01,1.31,0.9345,1.46,1.555,1.955,1.991,2.682,1.319,3.083,2.039,2.097,6.394,0.8473,1.801,7.925,1.687,1.607,1.413,2.191,1.689,1.554,1.804,1.392,1.466,4.781,2.81,2.137,2.577,2.42,1.896,2.214,1.425,1.257,2.238,1.736,1.91,3.003,0.5067,2.103,2.427,1.529,1.617,2.02,1.633,2.353,1.955,2.226,1.225,2.059,1.267,1.004,1.394,2.704,1.478,1.566,2.546,2.021,1.351,1.456,1.965,1.924,1.889,1.94,1.751,1.883,1.712,2.965,2.824,2.4,2.437,2.914,2.496,2.021,1.636,3.404,2.838,2.314,2.753,1.892,3.188,1.571,1.753,1.969,1.992,0.9581,1.027,0.7896,1.269,3.703,2.098,1.576,1.399,1.416,1.239,1.552,2.51,1.278,1.889,1.211,2.038,2.276,1.848,2.256,1.331,0.9667,2.829,3.383,3.257,1.939,2.704,1.936,2.436,3.768,1.595,1.683,1.614,0.7938,2.389,1.527,1.447,2.147,1.564,0.8453,10.62,2.225,1.816,2.242,1.958,1.474,1.495,3.956,3.761,1.596,2.807,1.363,1.952,3.035,2.653,2.435,2.073,1.702,1.88,2.206,1.799,4.119,2.631,2.148,1.53,1.645,1.875,1.838,2.361,1.842,4.52,2.003,1.719,0.587,1.41,1.684,2.165,1.323,1.855,1.837,2.465,4.99,1.251,6.158,2.093,2.179,2.184,2.789,1.386,3.494,1.997,1.678,1.624,3.091,1.511,1.923,4.425,1.369,1.309,1.35,1.632
RP11-573D15.8,ENSG00000197099.8,1.864,2.109,1.058,5.177,6.958,3.782,0.2905,0.5622,2.797,6.011,1.048,1.531,4.947,1.694,1.038,1.26,1.763,0.9508,0.7404,1.356,3.083,0.629,3.836,2.23,2.665,1.338,4.919,1.286,1.516,0.4732,0.8783,1.39,2.077,0.8513,0.1059,2.877,0.8042,0.6614,0.6406,3.348,2.588,1.911,0.4289,1.99,0.4957,1.941,0.474,2.838,1.751,2.128,1.564,0.2813,1.188,4.904,2.379,0.4061,3.766,1.556,4.634,4.284,1.482,0.6962,4.843,2.103,0.9753,1.363,2.573,2.269,4.631,1.413,1.686,4.454,1.897,4.414,6.258,0.8202,0.9832,1.84,1.56,0.7011,1.087,1.704,2.791,1.355,2.701,3.128,0.9792,4.015,1.058,2.302,0.1176,1.479,0.8408,3.864,2.043,0.8933,1.258,0.4284,3.136,1.407,2.092,0.6315,1.14,2.839,2.276,0.8915,1.225,1.804,1.737,0.3046,1.52,1.436,2.907,2.645,1.575,1.828,0.7528,11.38,2.257,3.349,0.6649,0.8793,1.332,2.724,0.5872,0.5767,1.69,1.479,1.166,1.731,2.059,1.249,0.7509,2.974,2.528,0.1433,3.377,2.149,2.041,3.88,0.4918,2.385,1.486,2.403,2.048,2.75,1.119,0.3055,3.42,2.071,1.37,1.109,0.2007,0.815,2.41,1.045,1.468,6.037,1.152,2.176,0.4756,2.106,1.065,1.292,0.5611,0.7002,1.112,0.5852,3.211,3.634,1.037,0.6703,2.615,0.4685,2.06,0.5871,0.7973,4.342,0.2679,1.117,1.705,1.047,0.7178,2.594,2.081,0.8673,1.883,1.358,0.9839,0.8478,4.244,2.881,1.377
LINC01786,ENSG00000230415.1,6.481,2.694,2.689,2.722,4.205,3.592,3.792,0.1247,3.109,1.815,2.896,3.125,3.152,1.095,2.201,1.808,2.978,1.443,1.454,5.804,0.9494,1.424,5.627,2.408,4.396,3.876,4.208,2.354,2.619,2.613,7.727,2.802,1.835,0.6154,0.5649,6.177,0.8707,2.159,1.355,2.757,2.845,3.104,0.4741,3.476,0.4076,5.322,1.439,1.92,3.775,1.841,1.175,2.989,2.538,4.185,2.763,0.2925,4.046,2.681,4.411,4.697,2.359,1.394,6.754,4.581,1.009,2.368,3.274,4.83,3.635,0.7771,1.855,4.244,1.465,3.797,3.779,0.9492,1.974,1.164,2.091,1.203,2.929,2.285,3.013,0.7846,2.806,4.478,0.6861,4.099,2.492,2.92,0.3095,3.533,1.213,2.092,4.329,1.146,1.227,1.473,3.62,3.183,2.541,1.126,4.206,3.374,0.7891,5.027,2.414,4.156,2.332,0.5087,2.109,1.953,4.409,3.246,1.357,1.92,1.796,9.782,0.5507,3.249,2.169,0.4285,1.964,2.513,1.8,0.5691,2.145,1.506,3.616,1.696,2.955,1.558,4.787,3.631,2.865,0.535,2.063,4.89,2.221,4.936,0.9448,3.877,1.898,3.23,3.883,3.716,0.9142,0.9043,7.851,7.448,3.815,1.343,2.55,0.9921,3.291,1.831,3.225,2.067,2.152,1.697,0.8745,2.898,3.558,2.061,1.753,1.374,1.784,1.902,3.827,3.204,2.014,1.418,3.833,1.72,3.809,0.8218,1.287,3.847,0.654,1.426,1.168,2.303,1.463,4.643,3.091,0.7093,3.248,1.05,1.471,1.154,3.487,3.495,3.012
MLLT10,ENSG00000078403.16,6.845,6.144,5.937,6.596,7.099,11.2,6.558,4.554,8.994,7.076,3.305,6.041,6.912,4.814,5.181,6.868,7.818,9.627,5.382,6.088,5.477,3.723,7.116,8.888,7.274,6.037,9.213,5.425,7.025,5.495,5.828,6.104,9.215,6.283,1.586,7.771,2.449,5.916,5.362,8.283,6.699,5.395,2.881,7.176,3.538,8.096,4.203,5.55,6.512,5.893,5.14,3.761,6.142,9.982,8.039,4.296,8.713,7.872,8.773,6.816,6.399,5.475,7.507,6.293,6.066,4.121,6.54,9.322,8.738,6.625,5.751,5.749,5.346,8.894,10.55,8.674,3.708,7.078,8.23,8.184,5.502,5,9.62,5.801,6.661,9.567,6.179,10.23,8.856,6.511,2.979,5.598,6.031,5.456,6.565,2.629,5.686,4.149,5.95,8.023,6.146,2.984,4.728,5.855,7.24,5.497,5.401,6.71,7.389,4.038,8.415,8.748,8.089,5.624,8.384,6.058,6.843,10.19,7.054,8.33,6.838,5.389,4.978,7.274,3.761,2.399,6.626,4.112,6.718,7.091,5.679,3.071,10.16,8.449,8.355,0.8439,5.319,5.591,4.781,8.376,6.237,7.034,6.571,7.008,6.84,8.971,6.748,4.097,6.995,7.211,7.273,5.13,3.371,6.082,8.072,5.847,5.922,6.213,6.284,7.036,4.44,6.79,9.377,5.498,4.932,2.322,4.841,6.55,7.939,5.072,5.677,4.079,7.756,4.999,4.44,4.225,5.435,9.221,6.719,4.717,6.987,6.162,5.374,7.042,5.551,6.343,7.532,7.558,7.346,4.93,9.918,6.994,6.757
